iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
1087;C39H46O11;[M + H]+;Shikimates and Phenylpropanoids;6.38992E+14;Triterpenoids;6.3353E+15;Dimeric phloroglucinols;6.44205E+15;Triterpenoids;5.45462E+15;;;Triterpenoids;5.45462E+15;Prenol lipids;5.24477E+14;Lipids and lipid-like molecules;7.15474E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Chromones; Xanthenes; Ethers; Prenol lipids; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid esters; Triterpenoids; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Polyols; Benzenoids; Dibenzopyrans; Hydroxyflavonoids; 5-hydroxyflavonoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"
1089;C20H36N6O2;[M + H]+;Alkaloids;9.69987E+15;Lysine alkaloids;2.8433E+14;Quinolizidine alkaloids;1.69531E+16;Piperidines;7.78246E+15;;;;;Piperidines;7.78246E+15;Organoheterocyclic compounds;9.89124E+15;"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1090;C22H42O4;[M + H]+;Fatty acids;9.98704E+15;Fatty esters;9.99182E+15;Wax monoesters;6.2955E+15;Fatty acid esters;9.98193E+15;;;Fatty acid esters;9.98193E+15;Fatty Acyls;9.99573E+15;Lipids and lipid-like molecules;9.98454E+15;"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1091;C37H42N4O6;[M + H]+;Alkaloids;6.95629E+15;Tryptophan alkaloids;4.28611E+15;Carboline alkaloids;2.2738E+16;Alpha amino acids and derivatives;6.89331E+15;Amino acids and derivatives;8.7153E+15;Amino acids, peptides, and analogues;8.67455E+15;Carboxylic acids and derivatives;9.4374E+15;Organic acids and derivatives;9.95515E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Alkyl aryl ethers; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Secondary amines; Vinylogous amides; Organic oxides; Methoxybenzenes; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"
1092;C41H51N5O7;[M + H]+;Polyketides;9.56432E+15;Polycyclic aromatic polyketides;9.16195E+15;Anthraquinones and anthrones;7.65685E+15;Anthraquinones;9.32582E+15;;;Anthraquinones;9.32582E+15;Anthracenes;8.16987E+15;Benzenoids;9.98721E+14;"Organic compounds; Organoheterocyclic compounds; Anthracenes; Oxazinanes; Ketones; Alcohols and polyols; Phenols; Anthraquinones; Phenethylamines; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Morpholines; Carboxylic acid amides; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Tertiary amines; Secondary alkylarylamines; Alkanolamines; Aryl ketones; Aralkylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"
1094;C31H53N11O10;[M + H]+;Amino acids and Peptides;9.6233E+14;Oligopeptides;8.59303E+15;Linear peptides;6.991E+15;Oligopeptides;7.41804E+15;Peptides;9.80773E+14;Amino acids, peptides, and analogues;9.95895E+15;Carboxylic acids and derivatives;9.97576E+15;Organic acids and derivatives;9.99683E+14;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Asparagine and derivatives; Alanine and derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1096;C31H49O13P;[M + H]+;Fatty acids;9.94282E+15;Glycerophospholipids;8.98958E+15;Glycerophosphoinositolglycans;9.53091E+15;Phosphatidylinositols;7.79091E+14;Phosphatidylinositols;7.79091E+14;Glycerophosphoinositols;7.19192E+15;Glycerophospholipids;9.54999E+14;Lipids and lipid-like molecules;9.97379E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Phosphatidylinositols; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycerophosphoinositols; Polyols; Cyclitols and derivatives; Inositol phosphates; Cyclohexanols; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1097;C31H51N5O5;[M + H]+;Amino acids and Peptides;8.29703E+15;Small peptides;3.78496E+16;Tripeptides;5.20586E+15;Peptides;6.49702E+15;Peptides;6.49702E+15;Amino acids, peptides, and analogues;9.92698E+15;Carboxylic acids and derivatives;9.93551E+15;Organic acids and derivatives;9.9459E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1098;C31H40N2O2;[M + H]+;Alkaloids;6.94844E+15;Anthranilic acid alkaloids;3.09167E+16;Quinoline alkaloids;1.92265E+16;Phenylpropanes;5.48997E+15;;;Phenylpropanes;5.48997E+15;Benzene and substituted derivatives;4.63949E+15;Benzenoids;9.96791E+15;"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Lactams; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Phenylpropanes; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1100;C30H49N5O5;[M + H]+;Alkaloids;4.97633E+16;Lysine alkaloids;1.6006E+16;Linear peptides;1.8489E+15;Aralkylamines;5.01794E+15;Aralkylamines;5.01794E+15;Amines;9.98804E+15;Organonitrogen compounds;1E+16;Organic nitrogen compounds;1E+16;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Trialkylamines; Benzenoids; Amines; Tertiary amines; Alkanolamines; Aralkylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1102;C34H68NO8P;[M + H]+;Fatty acids;9.97564E+15;Glycerophospholipids;9.99429E+15;Glycerophosphoethanolamines;9.34095E+15;Phosphatidylethanolamines;9.39864E+15;Phosphatidylethanolamines;9.39864E+15;Glycerophosphoethanolamines;9.67185E+15;Glycerophospholipids;9.99763E+15;Lipids and lipid-like molecules;9.99252E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1104;C34H68NO8P;[M + Na]+;Fatty acids;9.98546E+15;Glycerophospholipids;9.99663E+15;Glycerophosphoethanolamines;8.38526E+15;Phosphatidylethanolamines;9.14993E+15;Phosphatidylethanolamines;9.14993E+15;Glycerophosphoethanolamines;9.15004E+15;Glycerophospholipids;9.99762E+15;Lipids and lipid-like molecules;9.99302E+14;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1105;C33H62O4;[M + H]+;Fatty acids;9.95389E+15;Glycerolipids;9.69423E+15;Diacylglycerols;5.30055E+15;Diacylglycerols;5.67553E+15;Diacylglycerols;5.67553E+15;Diradylglycerols;5.66614E+15;Glycerolipids;9.69833E+15;Lipids and lipid-like molecules;9.98287E+15;"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1109;C32H55N11O11;[M + H]+;Amino acids and Peptides;9.95426E+15;Oligopeptides;9.11363E+15;Linear peptides;6.19769E+15;Oligopeptides;9.04169E+15;Peptides;9.96951E+15;Amino acids, peptides, and analogues;9.98734E+14;Carboxylic acids and derivatives;9.98337E+14;Organic acids and derivatives;9.99891E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Asparagine and derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1110;C32H65NO6S;[M + H]+;Fatty acids;9.9593E+15;Sphingolipids;9.5458E+15;Ceramides;6.52256E+15;N-acyl amines;8.3649E+15;N-acyl amines;8.3649E+15;Fatty amides;4.72295E+15;Fatty Acyls;7.63608E+15;Lipids and lipid-like molecules;7.38412E+14;"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Organosulfonic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1112;C32H51N5O5;[M + H]+;Alkaloids;5.00964E+15;Lysine alkaloids;1.58006E+16;Linear peptides;1.43609E+15;Amino acids and derivatives;8.63146E+14;Amino acids and derivatives;8.63146E+14;Amino acids, peptides, and analogues;8.64964E+15;Carboxylic acids and derivatives;8.86856E+15;Organic acids and derivatives;7.17009E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Amphetamines and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Trialkylamines; Benzenoids; Amines; Secondary amines; Tertiary amines; Alkanolamines; Aralkylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1113;C32H51N3O8;[M + H]+;Polyketides;9.60472E+15;Oligopeptides;6.83721E+15;Depsipeptides;8.00567E+15;Diterpene lactones;8.92495E+15;Diterpene lactones;8.92495E+15;Terpene lactones;7.65435E+15;Prenol lipids;2.45721E+16;Lipids and lipid-like molecules;1.63119E+16;"Organic compounds; Organoheterocyclic compounds; Lactones; Oxazoles; Alcohols and polyols; Macrolides and analogues; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Terpene lactones; Diterpene lactones; Secondary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1116;C37H70NO8P;[M + H]+;Fatty acids;9.89248E+15;Glycerophospholipids;9.99868E+15;Glycerophosphoethanolamines;9.49578E+15;Phosphatidylethanolamines;9.42871E+15;Phosphatidylethanolamines;9.42871E+15;Glycerophosphoethanolamines;9.77187E+15;Glycerophospholipids;9.99868E+15;Lipids and lipid-like molecules;9.99327E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
